EMP_ID,EMP_FNAME,EMP_LNAME,EMP_EMAIL,EMP_PHONE,EMP_HIREDATE,EMP_TITLE,EMP_COMM,DEPT_NUM
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83304,TAMARA,MCDONALD,T.MCDONA3@LGCOMPANY.COM,453-9342,10/20/2006,ASSOCIATE,0,400
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83308,CONNIE,LOVE,C.LOVE77@LGCOMPANY.COM,495-3082,12/15/1980,SENIOR ASSOCIATE,0,250
83312,ROSALBA,BAKER,R.BAKER9@LGCOMPANY.COM,632-8197,12/12/2012,ASSOCIATE,0,300
83312,ROSALBA,BAKER,R.BAKER9@LGCOMPANY.COM,632-8197,12/12/2012,ASSOCIATE,0,300
