DEPT_MAIL_BOX,DEPT_NAME,DEPT_NUM,DEPT_PHONE,EMP_COMM,EMP_EMAIL,EMP_FNAME,EMP_HIREDATE,EMP_LNAME,EMP_NUM,EMP_PHONE,EMP_TITLE,SAL_AMOUNT,SAL_END,SAL_FROM,EMP_NUM
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,27000,  ,41566,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,25710,41565,41200,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,23810,41199,40834,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,23120,40834,40470,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,22450,40469,40106,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,21800,40105,39740,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,20760,39739,39374,83759
789,WAREHOUSE,400,555-1003,0,T.MCDONA3@LGCOMPANY.COM,TAMARA,39010,MCDONALD,83304,453-9342,ASSOCIATE,19770,39374,39010,83759
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,51240,  ,41616,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,34720,39059,38696,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,33710,38695,38330,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,32730,38329,37964,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,30310,37964,37600,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,28060,37599,37236,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,26720,37235,36870,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,25450,36869,36504,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,24240,36504,36140,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,23090,36139,35776,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,22420,35775,35410,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,21770,35409,35044,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,21140,35044,34680,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,20520,34679,34316,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,19920,34315,33950,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,18110,33949,33584,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,16770,33584,33220,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,16280,33219,32856,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,15070,32855,32490,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,14630,32489,32124,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,14200,32124,31760,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,13520,31759,31396,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,13130,31395,31030,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,12500,31029,30664,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,12140,30664,30300,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,11790,30299,29936,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,11230,29935,29570,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,47440,41615,41250,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,45180,41249,40884,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,43030,40884,40520,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,39840,40519,40156,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,38680,40155,39790,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,37550,39789,39424,84001
100,CUSTOMER SERVICE,250,555-5555,0,C.LOVE77@LGCOMPANY.COM,CONNIE,29570,LOVE,83308,495-3082,SENIOR ASSOCIATE,35760,39424,39060,84001
222,PURCHASING,300,555-4873,0,R.BAKER9@LGCOMPANY.COM,ROSALBA,41255,BAKER,83312,632-8197,ASSOCIATE,42400,  ,41621,83746
222,PURCHASING,300,555-4873,0,R.BAKER9@LGCOMPANY.COM,ROSALBA,41255,BAKER,83312,632-8197,ASSOCIATE,39260,41620,41255,83746
